Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Attention deficit hyperactivity disorder	C1263846	ADGRL3	23284	Q9HAR2	adhesion G protein-coupled receptor L3	G-protein coupled receptor	25	0.729	0.385	1.0	0.4		1.0	22	8	2010.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.4		0.95	201	14	1995.0	2019.0
Attention deficit hyperactivity disorder	C1263846	MED13	9969	Q9UHV7	mediator complex subunit 13		29	0.711	0.538	1.0	0.4	moderate	1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.37		1.0	8	0	2003.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GRM7	2917	Q14831	glutamate metabotropic receptor 7	G-protein coupled receptor	77	0.628	0.538	0.99896	0.36		1.0	7	3	2011.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CNR1	1268	P21554	cannabinoid receptor 1	G-protein coupled receptor	393	0.446	0.808	0.50652	0.33		1.0	4	0	2008.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GIT1	28964	Q9Y2X7	GIT ArfGAP 1		56	0.647	0.538	0.99978	0.33		1.0	3	1	2011.0	2018.0
Attention deficit hyperactivity disorder	C1263846	TACR1	6869	P25103	tachykinin receptor 1	G-protein coupled receptor	217	0.502	0.885	0.00038437	0.33		1.0	3	2	2010.0	2016.0
Attention deficit hyperactivity disorder	C1263846	GRM8	2918	O00222	glutamate metabotropic receptor 8	G-protein coupled receptor	56	0.636	0.577	4.5334e-07	0.32		1.0	3	0	2011.0	2015.0
Attention Deficit Disorder	C0041671	DRD2	1813	P14416	dopamine receptor D2	G-protein coupled receptor	437	0.436	0.846	0.74709	0.31		1.0	2	0	2007.0	2013.0
Attention Deficit Disorder	C0041671	GRM7	2917	Q14831	glutamate metabotropic receptor 7	G-protein coupled receptor	77	0.628	0.538	0.99896	0.31		1.0	2	3	2011.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CALY	50632	Q9NYX4	calcyon neuron specific vesicular protein		13	0.821	0.192	0.038696	0.31		1.0	2	0	2005.0	2019.0
Attention deficit hyperactivity disorder	C1263846	PTPRD	5789	P23468	protein tyrosine phosphatase receptor type D	Enzyme	93	0.584	0.731	1.0	0.31		1.0	1	0	2010.0	2010.0
Attention Deficit Disorder	C0041671	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.3		1.0	1	0	2012.0	2012.0
Attention Deficit Disorder	C0041671	TPH2	121278	Q8IWU9	tryptophan hydroxylase 2		137	0.546	0.654	2.5364e-07	0.3			0	0		
Attention Deficit Disorder	C0041671	CNR1	1268	P21554	cannabinoid receptor 1	G-protein coupled receptor	393	0.446	0.808	0.50652	0.3		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	COMT	1312	P21964	catechol-O-methyltransferase	Enzyme	622	0.4	0.923	1.1377e-06	0.3		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	DRD5	1816	P21918	dopamine receptor D5	G-protein coupled receptor	73	0.603	0.423	1.348e-16	0.3		1.0	2	0	2004.0	2004.0
Attention Deficit Disorder	C0041671	FGD1	2245	P98174	FYVE, RhoGEF and PH domain containing 1	Enzyme modulator	131	0.573	0.731	0.9997	0.3		1.0	1	0	2005.0	2005.0
Attention Deficit Disorder	C0041671	CIC	23152	Q96RK0	capicua transcriptional repressor		141	0.523	0.692	0.99999	0.3		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	GRM1	2911	Q13255	glutamate metabotropic receptor 1	G-protein coupled receptor	172	0.528	0.808	0.14279	0.3		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	GRM5	2915	P41594	glutamate metabotropic receptor 5	G-protein coupled receptor	189	0.525	0.846	0.99872	0.3		1.0	2	0	2010.0	2011.0
Attention Deficit Disorder	C0041671	GRM8	2918	O00222	glutamate metabotropic receptor 8	G-protein coupled receptor	56	0.636	0.577	4.5334e-07	0.3		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	STS	412	P08842	steroid sulfatase	Enzyme	382	0.431	0.846	0.80886	0.3		1.0	1	0	2008.0	2008.0
Attention Deficit Disorder	C0041671	CALY	50632	Q9NYX4	calcyon neuron specific vesicular protein		13	0.821	0.192	0.038696	0.3		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	AS3MT	57412	Q9HBK9	arsenite methyltransferase	Enzyme	56	0.638	0.538	7.9768e-11	0.3		1.0	1	0	2015.0	2015.0
Attention Deficit Disorder	C0041671	PTPRD	5789	P23468	protein tyrosine phosphatase receptor type D	Enzyme	93	0.584	0.731	1.0	0.3		1.0	1	0	2010.0	2010.0
Attention deficit hyperactivity disorder	C1263846	CHRNB2	1141	P17787	cholinergic receptor nicotinic beta 2 subunit	Ion channel	96	0.617	0.308	0.00072964	0.3		1.0	1	0	2012.0	2012.0
Attention deficit hyperactivity disorder	C1263846	ZNF292	23036	O60281	zinc finger protein 292	Enzyme	53	0.695	0.423	1.0	0.3	moderate	1.0	1	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	GRM1	2911	Q13255	glutamate metabotropic receptor 1	G-protein coupled receptor	172	0.528	0.808	0.14279	0.3		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	PTCHD1	139411	Q96NR3	patched domain containing 1	Receptor	62	0.678	0.385	0.98224	0.21		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.21		1.0	2	0	2008.0	2009.0
Attention Deficit Disorder	C0041671	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.21		1.0	2	0	2011.0	2014.0
Attention Deficit Disorder	C0041671	HDAC5	10014	Q9UQL6	histone deacetylase 5	Epigenetic regulator	114	0.552	0.769	1.0	0.2		1.0	1	0	2008.0	2008.0
Attention Deficit Disorder	C0041671	CREBBP	1387	Q92793	CREB binding protein		438	0.428	0.808	1.0	0.2		1.0	1	0	2008.0	2008.0
Attention Deficit Disorder	C0041671	CSNK1D	1453	P48730	casein kinase 1 delta	Kinase	49	0.65	0.615	0.99577	0.2			0	0		
Attention Deficit Disorder	C0041671	BRINP1	1620	O60477	BMP/retinoic acid inducible neural specific 1		64	0.615	0.615	0.99251	0.2		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	DDC	1644	P20711	dopa decarboxylase		164	0.535	0.769	3.7519e-08	0.2		1.0	1	0	2008.0	2008.0
Attention Deficit Disorder	C0041671	GRIN2B	2904	Q13224	glutamate ionotropic receptor NMDA type subunit 2B	Ion channel	249	0.51	0.692	1.0	0.2		1.0	2	0	2009.0	2012.0
Attention Deficit Disorder	C0041671	LGALS3	3958	P17931	galectin 3	Signaling	557	0.392	0.846	2.3207e-05	0.2		1.0	1	0	2010.0	2010.0
Attention Deficit Disorder	C0041671	NTRK2	4915	Q16620	neurotrophic receptor tyrosine kinase 2	Kinase	284	0.479	0.808	1.0	0.2		1.0	1	0	2014.0	2014.0
Attention Deficit Disorder	C0041671	PER1	5187	O15534	period circadian regulator 1	Transcription factor	111	0.556	0.731	0.00029308	0.2		1.0	1	0	2015.0	2015.0
Attention Deficit Disorder	C0041671	SNAP25	6616	P60880	synaptosome associated protein 25	Transporter	283	0.489	0.808	0.98653	0.2		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	THRB	7068	P10828	thyroid hormone receptor beta	Nuclear receptor	142	0.554	0.769	0.99676	0.2		1.0	1	0	2005.0	2005.0
Attention Deficit Disorder	C0041671	THRSP	7069	Q92748	thyroid hormone responsive		33	0.695	0.462	0.0029238	0.2			0	0		
Attention Deficit Disorder	C0041671	VEGFA	7422	P15692	vascular endothelial growth factor A	Signaling	1899	0.266	0.923	2.4085e-05	0.2		1.0	1	0	2004.0	2004.0
Attention Deficit Disorder	C0041671	CDK5R1	8851	Q15078	cyclin dependent kinase 5 regulatory subunit 1	Enzyme modulator	153	0.529	0.808	0.9149	0.2		1.0	3	0	1997.0	2012.0
Attention deficit hyperactivity disorder	C1263846	DHDDS	79947	Q86SQ9	dehydrodolichyl diphosphate synthase subunit	Enzyme	308	0.468	0.885	0.24533	0.15		1.0	5	0	2012.0	2018.0
Attention deficit hyperactivity disorder	C1263846	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	Ion channel	172	0.532	0.654	0.00041549	0.14		1.0	4	0	2001.0	2017.0
Attention deficit hyperactivity disorder	C1263846	GRIN2A	2903	Q12879	glutamate ionotropic receptor NMDA type subunit 2A	Ion channel	212	0.522	0.808	0.99998	0.14		1.0	4	1	2004.0	2017.0
Attention deficit hyperactivity disorder	C1263846	ASTN2	23245	O75129	astrotactin 2		51	0.666	0.462	0.99971	0.13		0.75	4	2	2008.0	2016.0
Attention deficit hyperactivity disorder	C1263846	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.13		1.0	3	1	2009.0	2020.0
Attention deficit hyperactivity disorder	C1263846	PTCHD1	139411	Q96NR3	patched domain containing 1	Receptor	62	0.678	0.385	0.98224	0.12		1.0	2	0	2016.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GJB2	2706	P29033	gap junction protein beta 2	Cell-cell junction	392	0.441	0.846	6.562e-16	0.12		1.0	2	1	2006.0	2006.0
Attention deficit hyperactivity disorder	C1263846	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.12		1.0	2	8	2009.0	2013.0
Attention deficit hyperactivity disorder	C1263846	ST3GAL3	6487	Q11203	ST3 beta-galactoside alpha-2,3-sialyltransferase 3		95	0.606	0.654	0.0025598	0.12		1.0	3	2	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	UPF3B	65109	Q9BZI7	UPF3B regulator of nonsense mediated mRNA decay		99	0.619	0.615	0.98497	0.12		1.0	2	0	2013.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SYP	6855	P08247	synaptophysin	Transporter	243	0.481	0.808	0.91549	0.12		1.0	2	0	2013.0	2015.0
Attention deficit hyperactivity disorder	C1263846	CACNA1C	775	Q13936	calcium voltage-gated channel subunit alpha1 C	Ion channel	225	0.51	0.846	1.0	0.12		1.0	3	1	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	FOXP2	93986	O15409	forkhead box P2		165	0.545	0.808	0.99994	0.12		1.0	4	5	2012.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CPLX2	10814	Q6PUV4	complexin 2		22	0.736	0.231	0.52601	0.11		1.0	2	1	2011.0	2013.0
Attention deficit hyperactivity disorder	C1263846	SLITRK1	114798	Q96PX8	SLIT and NTRK like family member 1		26	0.736	0.308	0.95737	0.11		1.0	1	0	2009.0	2009.0
Attention deficit hyperactivity disorder	C1263846	DMD	1756	P11532	dystrophin		484	0.423	0.923	1.0	0.11		1.0	1	0	2012.0	2012.0
Attention deficit hyperactivity disorder	C1263846	IQSEC2	23096	Q5JU85	IQ motif and Sec7 domain ArfGEF 2		155	0.573	0.577	0.99998	0.11		1.0	1	0	2016.0	2016.0
Attention deficit hyperactivity disorder	C1263846	FMR1	2332	Q06787	FMRP translational regulator 1	Nucleic acid binding	346	0.473	0.769	0.64718	0.11		1.0	1	0	2012.0	2012.0
Attention deficit hyperactivity disorder	C1263846	GABRB3	2562	P28472	gamma-aminobutyric acid type A receptor subunit beta3	Ion channel	139	0.546	0.615	0.95138	0.11		1.0	1	0	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	AUTS2	26053	Q8WXX7	activator of transcription and developmental regulator AUTS2		149	0.569	0.846	0.99934	0.11		1.0	1	0	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	IFNG	3458	P01579	interferon gamma		1519	0.288	0.962	0.47156	0.11		1.0	1	0	2016.0	2016.0
Attention deficit hyperactivity disorder	C1263846	FAS	355	P25445	Fas cell surface death receptor		754	0.372	0.923	0.8117	0.11		1.0	1	1	2012.0	2012.0
Attention deficit hyperactivity disorder	C1263846	ITIH3	3699	Q06033	inter-alpha-trypsin inhibitor heavy chain 3	Enzyme modulator	23	0.769	0.231	1.4628e-13	0.11		1.0	2	1	2013.0	2015.0
Attention deficit hyperactivity disorder	C1263846	NTRK2	4915	Q16620	neurotrophic receptor tyrosine kinase 2	Kinase	284	0.479	0.808	1.0	0.11		1.0	1	0	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	PAH	5053	P00439	phenylalanine hydroxylase		219	0.516	0.769	6.4046e-23	0.11		1.0	1	0	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.11		1.0	1	0	2009.0	2009.0
Attention deficit hyperactivity disorder	C1263846	PRKG1	5592	Q13976	protein kinase cGMP-dependent 1	Kinase	114	0.603	0.769	0.99938	0.11		1.0	2	3	2002.0	2010.0
Attention deficit hyperactivity disorder	C1263846	PTPRG	5793	P23470	protein tyrosine phosphatase receptor type G	Enzyme	70	0.619	0.731	5.0736e-06	0.11		1.0	2	1	2016.0	2017.0
Attention deficit hyperactivity disorder	C1263846	SLC6A8	6535	P48029	solute carrier family 6 member 8	Transporter	274	0.476	0.846	0.99778	0.11		1.0	1	0	2010.0	2010.0
Attention deficit hyperactivity disorder	C1263846	THRB	7068	P10828	thyroid hormone receptor beta	Nuclear receptor	142	0.554	0.769	0.99676	0.11		1.0	1	1	1994.0	1994.0
Attention deficit hyperactivity disorder	C1263846	SNORD116-1	100033413		small nucleolar RNA, C/D box 116-1		63	0.682	0.423		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TAF9BP2	100130319		TATA-box binding protein associated factor 9b pseudogene 2		4	0.861	0.115		0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	KDM4A-AS1	100132774		KDM4A antisense RNA 1		2	0.931	0.038		0.1		1.0	2	2	2018.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GNE	10020	Q9Y223	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Enzyme	118	0.61	0.692	2.4844e-16	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	BORCS7-ASMT	100528007		BORCS7-ASMT readthrough (NMD candidate)		20	0.805	0.154		0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	P2RX5-TAX1BP3	100533970		P2RX5-TAX1BP3 readthrough (NMD candidate)		91	0.588	0.769		0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	GPC6	10082	Q9Y625	glypican 6		86	0.626	0.654	0.14181	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	OBI1-AS1	100874222		OBI1 antisense RNA 1		14	0.792	0.115		0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	MKRN3-AS1	10108		MKRN3 antisense RNA 1		63	0.682	0.423		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	LINC01572	101927957		long intergenic non-protein coding RNA 1572		5	1.0	0.038		0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DEAF1	10522	O75398	DEAF1 transcription factor		156	0.575	0.615	0.00034113	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	NOP56	10528	O00567	NOP56 ribonucleoprotein	Nucleic acid binding	64	0.663	0.538	0.62098	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GNB5	10681	O14775	G protein subunit beta 5	Enzyme	29	0.736	0.308	6.3614e-08	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	RAI1	10743	Q7Z5J4	retinoic acid induced 1	Transcription factor	205	0.545	0.731	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	ADCY2	108	Q08462	adenylate cyclase 2		30	0.695	0.308	0.99898	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	CPLX1	10815	O14810	complexin 1		138	0.576	0.654	0.82499	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MAGED2	10916	Q9UNF1	MAGE family member D2	Cell adhesion	43	0.691	0.462	0.99538	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	TLK2	11011	Q86UE8	tousled like kinase 2	Kinase	71	0.631	0.538	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MID2	11043	Q9UJV3	midline 2		48	0.695	0.5	0.1755	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CHD2	1106	O14647	chromodomain helicase DNA binding protein 2		99	0.585	0.577	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	IL1RAPL1	11141	Q9NZN1	interleukin 1 receptor accessory protein like 1	Receptor	103	0.617	0.692	0.99886	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	C12orf57	113246	Q99622	chromosome 12 open reading frame 57		62	0.641	0.5	5.2408e-05	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	CSMD2	114784	Q7Z408	CUB and Sushi multiple domains 2		27	0.695	0.269		0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	NUS1	116150	Q96E22	NUS1 dehydrodolichyl diphosphate synthase subunit		94	0.619	0.615	0.98117	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	RAB39B	116442	Q96DA2	RAB39B, member RAS oncogene family		90	0.619	0.615	0.82529	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CLCN4	1183	P51793	chloride voltage-gated channel 4	Ion channel	114	0.587	0.654	0.99893	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CLTC	1213	Q00610	clathrin heavy chain	Transporter	141	0.558	0.769	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MTFMT	123263	Q96DP5	mitochondrial methionyl-tRNA formyltransferase	Enzyme	101	0.595	0.808	1.4994e-07	0.1		1.0	2	1	2011.0	2014.0
Attention deficit hyperactivity disorder	C1263846	COL2A1	1280	P02458	collagen type II alpha 1 chain		496	0.444	0.846	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	COL11A2	1302	P13942	collagen type XI alpha 2 chain		399	0.435	0.846	0.70197	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	OSR1	130497	Q8TAX0	odd-skipped related transcription factor 1	Transcription factor	77	0.603	0.615	0.86296	0.1		0.846	13	0	1998.0	2020.0
Attention deficit hyperactivity disorder	C1263846	IRAK1BP1	134728	Q5VVH5	interleukin 1 receptor associated kinase 1 binding protein 1		24	0.78	0.346	1.449e-06	0.1			0	3		
Attention deficit hyperactivity disorder	C1263846	MUCL3	135656	Q3MIW9	mucin like 3		32	0.691	0.731	1.2265e-05	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	CREBBP	1387	Q92793	CREB binding protein		438	0.428	0.808	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	CRKL	1399	P46109	CRK like proto-oncogene, adaptor protein		140	0.553	0.769	0.44604	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PIWIL4	143689	Q7Z3Z4	piwi like RNA-mediated gene silencing 4		83	0.579	0.692	1.8323e-06	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	PWAR1	145624		Prader Willi/Angelman region RNA 1		246	0.49	0.769		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CSNK2A1	1457	P68400	casein kinase 2 alpha 1	Kinase	87	0.597	0.731	0.98711	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FBXL16	146330	Q8N461	F-box and leucine rich repeat protein 16		3	1.0	0.038	0.96981	0.1		1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	ADRA2A	150	P08913	adrenoceptor alpha 2A	G-protein coupled receptor	102	0.578	0.615	0.00081816	0.1		0.913	23	1	1999.0	2019.0
Attention deficit hyperactivity disorder	C1263846	VPS13B	157680	Q7Z7G8	vacuolar protein sorting 13 homolog B		158	0.579	0.769	2.5029e-45	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	AK8	158067	Q96MA6	adenylate kinase 8	Kinase	3	0.931	0.077	2.0053e-11	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	AARS1	16	P49588	alanyl-tRNA synthetase 1	Nucleic acid binding	84	0.647	0.462	1.8242e-08	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SPRED1	161742	Q7Z699	sprouty related EVH1 domain containing 1	Receptor	58	0.644	0.577	0.97246	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DBH	1621	P09172	dopamine beta-hydroxylase		202	0.511	0.846	3.3352e-10	0.1		0.964	28	5	1999.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DDX3X	1654	O00571	DEAD-box helicase 3 X-linked		180	0.537	0.769	0.99986	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	TIMM8A	1678	O60220	translocase of inner mitochondrial membrane 8A		200	0.51	0.846	0.65195	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ARX	170302	Q96QS3	aristaless related homeobox		249	0.516	0.654	0.90814	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DHCR7	1717	Q9UBM7	7-dehydrocholesterol reductase	Enzyme	266	0.5	0.846	3.949e-13	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DLG3	1741	Q92796	discs large MAGUK scaffold protein 3		144	0.544	0.615	0.99999	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DNM1	1759	Q05193	dynamin 1	Enzyme modulator	114	0.595	0.692	0.99917	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DYNC1H1	1778	Q14204	dynein cytoplasmic 1 heavy chain 1	Enzyme	174	0.547	0.769	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	DYNC1I2	1781	Q13409	dynein cytoplasmic 1 intermediate chain 2	Cellular structure	34	0.76	0.385	1.0648e-08	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	DPP6	1804	P42658	dipeptidyl peptidase like 6	Enzyme	71	0.603	0.692	0.33997	0.1			0	4		
Attention deficit hyperactivity disorder	C1263846	AGTR2	186	P50052	angiotensin II receptor type 2	G-protein coupled receptor	229	0.496	0.808	0.0082345	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	EEF1A2	1917	Q05639	eukaryotic translation elongation factor 1 alpha 2	Enzyme	166	0.554	0.808	0.99558	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ARID2	196528	Q68CP9	AT-rich interaction domain 2		167	0.543	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CFAP221	200373	Q4G0U5	cilia and flagella associated protein 221		7	0.805	0.231	8.7186e-17	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	ELN	2006	P15502	elastin		545	0.415	0.885	2.1429e-14	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CEP112	201134	Q8N8E3	centrosomal protein 112		10	0.931	0.077	7.0861e-39	0.1		1.0	1	1	2010.0	2010.0
Attention deficit hyperactivity disorder	C1263846	EMP2	2013	P54851	epithelial membrane protein 2	Cellular structure	46	0.65	0.692	2.3873e-07	0.1		1.0	1	1	2010.0	2010.0
Attention deficit hyperactivity disorder	C1263846	ABCD1	215	P33897	ATP binding cassette subfamily D member 1	Transporter	154	0.563	0.731	0.99896	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ACSL4	2182	O60488	acyl-CoA synthetase long chain family member 4	Enzyme	136	0.561	0.769	0.98103	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	JMJD1C	221037	Q15652	jumonji domain containing 1C		214	0.517	0.769	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FGF12	2257	P61328	fibroblast growth factor 12	Signaling	95	0.619	0.615	0.62294	0.1			0	0		
