Taxa,Metabolite,Potential Score
Acetivibrio,5-Hydroxykynurenamine,2.126944e-05
Acetivibrio,Indole-3-acetate,5.231950e-01
Acetivibrio,Tryptamine,2.186001e-05
Acetoanaerobium,Serotonin,2.144832e-05
Acetoanaerobium,L-Formylkynurenine,1.833545e-05
Acetoanaerobium,L-Kynurenine,1.903914e-05
Acetoanaerobium,3-Hydroxyanthranilate,1.993552e-05
Acetoanaerobium,Anthranilate,3.205807e-05
Acetoanaerobium,Indole-3-acetaldehyde,1.686427e-01
Acetoanaerobium,Melatonin,1.126046e-05
Acetoanaerobium,5-Hydroxykynurenamine,2.126944e-05
Acetoanaerobium,Indole-3-acetate,5.231950e-01
Acetoanaerobium,Tryptamine,2.186001e-05
Acetobacter,Serotonin,2.599540e-05
Acetobacter,L-Formylkynurenine,1.946578e-05
Acetobacter,L-Kynurenine,2.010010e-05
Acetobacter,3-Hydroxyanthranilate,2.120354e-05
Acetobacter,Anthranilate,3.209301e-05
Acetobacter,Indole-3-acetaldehyde,7.624315e-01
Acetobacter,Melatonin,1.128958e-05
Acetobacter,5-Hydroxykynurenamine,2.569748e-05
Acetobacter,Indole-3-acetate,3.069081e-02
Acetobacter,Tryptamine,2.700947e-05
Acetobacterium,Serotonin,2.600669e-05
Acetobacterium,L-Formylkynurenine,1.946881e-05
Acetobacterium,L-Kynurenine,2.010368e-05
Acetobacterium,3-Hydroxyanthranilate,2.120824e-05
Acetobacterium,Anthranilate,3.211066e-05
Acetobacterium,Indole-3-acetaldehyde,2.588757e-01
Acetobacterium,Melatonin,1.128729e-05
Acetobacterium,5-Hydroxykynurenamine,2.570835e-05
Acetobacterium,Indole-3-acetate,9.207588e-01
Acetobacterium,Tryptamine,2.702233e-05
Acetohalobium,Serotonin,2.601235e-05
Acetohalobium,L-Formylkynurenine,1.947033e-05
Acetohalobium,L-Kynurenine,2.010548e-05
Acetohalobium,3-Hydroxyanthranilate,2.121060e-05
Acetohalobium,Anthranilate,3.211952e-05
Acetohalobium,Indole-3-acetaldehyde,1.559063e-01
Acetohalobium,Melatonin,1.128614e-05
Acetohalobium,5-Hydroxykynurenamine,2.571379e-05
Acetohalobium,Indole-3-acetate,6.759327e-01
Acetohalobium,Tryptamine,2.702877e-05
Acetomicrobium,Serotonin,2.144784e-05
Acetomicrobium,L-Formylkynurenine,1.833523e-05
Acetomicrobium,L-Kynurenine,1.903883e-05
Acetomicrobium,3-Hydroxyanthranilate,1.993511e-05
Acetomicrobium,Anthranilate,3.205516e-05
Acetomicrobium,Indole-3-acetaldehyde,4.436974e-01
Acetomicrobium,Melatonin,1.126084e-05
Acetomicrobium,5-Hydroxykynurenamine,2.126898e-05
Acetomicrobium,Indole-3-acetate,3.049096e-01
Acetomicrobium,Tryptamine,2.185949e-05
Acetonema,Serotonin,2.601235e-05
Acetonema,L-Formylkynurenine,1.947033e-05
Acetonema,L-Kynurenine,2.010548e-05
Acetonema,3-Hydroxyanthranilate,2.121060e-05
Acetonema,Anthranilate,3.211952e-05
Acetonema,Indole-3-acetaldehyde,1.559063e-01
Acetonema,Melatonin,1.128614e-05
Acetonema,5-Hydroxykynurenamine,2.571379e-05
Acetonema,Indole-3-acetate,6.759327e-01
Acetonema,Tryptamine,2.702877e-05
Acholeplasma,Serotonin,2.144447e-05
Acholeplasma,L-Formylkynurenine,1.833369e-05
Acholeplasma,L-Kynurenine,1.903668e-05
Acholeplasma,3-Hydroxyanthranilate,1.993225e-05
Acholeplasma,Anthranilate,3.203482e-05
Acholeplasma,Indole-3-acetaldehyde,5.322263e-01
Acholeplasma,Melatonin,1.126352e-05
Acholeplasma,5-Hydroxykynurenamine,2.126573e-05
Acholeplasma,Indole-3-acetate,3.894411e-01
Acholeplasma,Tryptamine,2.185588e-05
Achromobacter,Serotonin,7.017835e-04
Achromobacter,L-Formylkynurenine,2.284096e-03
Achromobacter,L-Kynurenine,2.640181e-03
Achromobacter,3-Hydroxyanthranilate,2.396286e-03
Achromobacter,Anthranilate,3.193123e-05
Achromobacter,Indole-3-acetaldehyde,1.021900e-01
Achromobacter,Melatonin,1.121071e-05
Achromobacter,5-Hydroxykynurenamine,7.096355e-04
Achromobacter,Indole-3-acetate,3.821524e-01
Achromobacter,Tryptamine,6.391850e-04
Acidaminobacter,Serotonin,2.601235e-05
Acidaminobacter,L-Formylkynurenine,1.947033e-05
Acidaminobacter,L-Kynurenine,2.010548e-05
Acidaminobacter,3-Hydroxyanthranilate,2.121060e-05
Acidaminobacter,Anthranilate,3.211952e-05
Acidaminobacter,Indole-3-acetaldehyde,1.559063e-01
Acidaminobacter,Melatonin,1.128614e-05
Acidaminobacter,5-Hydroxykynurenamine,2.571379e-05
Acidaminobacter,Indole-3-acetate,6.759327e-01
Acidaminobacter,Tryptamine,2.702877e-05
Acidaminococcus,Serotonin,1.702295e-05
Acidaminococcus,L-Formylkynurenine,1.669632e-05
Acidaminococcus,L-Kynurenine,1.746242e-05
Acidaminococcus,3-Hydroxyanthranilate,1.810813e-05
Acidaminococcus,Anthranilate,3.192840e-05
Acidaminococcus,Indole-3-acetaldehyde,8.204772e-02
Acidaminococcus,Melatonin,1.121109e-05
Acidaminococcus,5-Hydroxykynurenamine,1.692835e-05
Acidaminococcus,Indole-3-acetate,1.534736e-01
Acidaminococcus,Tryptamine,1.706116e-05
Acidibacillus,Serotonin,2.601235e-05
Acidibacillus,L-Formylkynurenine,1.947033e-05
Acidibacillus,L-Kynurenine,2.010548e-05
Acidibacillus,3-Hydroxyanthranilate,2.121060e-05
Acidibacillus,Anthranilate,3.211952e-05
Acidibacillus,Indole-3-acetaldehyde,1.559063e-01
Acidibacillus,Melatonin,1.128614e-05
Acidibacillus,5-Hydroxykynurenamine,2.571379e-05
Acidibacillus,Indole-3-acetate,1.004830e-01
Acidibacillus,Tryptamine,2.702877e-05
Acidiferrobacter,Serotonin,2.601235e-05
Acidiferrobacter,L-Formylkynurenine,1.947033e-05
Acidiferrobacter,L-Kynurenine,2.010548e-05
Acidiferrobacter,3-Hydroxyanthranilate,2.121060e-05
Acidiferrobacter,Anthranilate,3.211952e-05
Acidiferrobacter,Indole-3-acetaldehyde,1.559063e-01
Acidiferrobacter,Melatonin,1.128614e-05
Acidiferrobacter,5-Hydroxykynurenamine,2.571379e-05
Acidiferrobacter,Indole-3-acetate,1.004830e-01
Acidiferrobacter,Tryptamine,2.702877e-05
Acidihalobacter,Serotonin,2.600669e-05
Acidihalobacter,L-Formylkynurenine,1.946881e-05
Acidihalobacter,L-Kynurenine,2.010368e-05
Acidihalobacter,3-Hydroxyanthranilate,2.120824e-05
Acidihalobacter,Anthranilate,3.211066e-05
Acidihalobacter,Indole-3-acetaldehyde,4.518508e-01
Acidihalobacter,Melatonin,1.128729e-05
Acidihalobacter,5-Hydroxykynurenamine,2.570835e-05
Acidihalobacter,Indole-3-acetate,5.653503e-02
Acidihalobacter,Tryptamine,2.702233e-05
Acidimangrovimonas,Serotonin,2.601235e-05
Acidimangrovimonas,L-Formylkynurenine,1.947033e-05
Acidimangrovimonas,L-Kynurenine,2.010548e-05
Acidimangrovimonas,3-Hydroxyanthranilate,2.121060e-05
Acidimangrovimonas,Anthranilate,3.211952e-05
Acidimangrovimonas,Indole-3-acetaldehyde,1.559063e-01
Acidimangrovimonas,Melatonin,1.128614e-05
Acidimangrovimonas,5-Hydroxykynurenamine,2.571379e-05
Acidimangrovimonas,Indole-3-acetate,1.004830e-01
Acidimangrovimonas,Tryptamine,2.702877e-05
Acidimicrobium,Serotonin,2.144832e-05
Acidimicrobium,L-Formylkynurenine,1.833545e-05
Acidimicrobium,L-Kynurenine,1.903914e-05
Acidimicrobium,3-Hydroxyanthranilate,1.993552e-05
Acidimicrobium,Anthranilate,3.205807e-05
Acidimicrobium,Indole-3-acetaldehyde,7.423324e-01
Acidimicrobium,Melatonin,1.126046e-05
Acidimicrobium,5-Hydroxykynurenamine,2.126944e-05
Acidimicrobium,Indole-3-acetate,7.848839e-02
Acidimicrobium,Tryptamine,2.186001e-05
Acidiphilium,Serotonin,2.601046e-05
Acidiphilium,L-Formylkynurenine,1.946982e-05
Acidiphilium,L-Kynurenine,2.010488e-05
Acidiphilium,3-Hydroxyanthranilate,2.120981e-05
Acidiphilium,Anthranilate,3.211656e-05
Acidiphilium,Indole-3-acetaldehyde,1.131025e-01
Acidiphilium,Melatonin,1.128652e-05
Acidiphilium,5-Hydroxykynurenamine,2.571198e-05
Acidiphilium,Indole-3-acetate,7.893972e-02
Acidiphilium,Tryptamine,2.702662e-05
Acidipropionibacterium,Serotonin,1.885355e-05
Acidipropionibacterium,L-Formylkynurenine,1.744060e-05
Acidipropionibacterium,L-Kynurenine,1.818265e-05
Acidipropionibacterium,3-Hydroxyanthranilate,1.893596e-05
Acidipropionibacterium,Anthranilate,3.198858e-05
Acidipropionibacterium,Indole-3-acetaldehyde,2.759549e-01
Acidipropionibacterium,Melatonin,1.123621e-05
Acidipropionibacterium,5-Hydroxykynurenamine,1.872694e-05
Acidipropionibacterium,Indole-3-acetate,1.718116e-01
Acidipropionibacterium,Tryptamine,1.902799e-05
Acidithrix,Serotonin,2.601235e-05
Acidithrix,L-Formylkynurenine,1.947033e-05
Acidithrix,L-Kynurenine,2.010548e-05
Acidithrix,3-Hydroxyanthranilate,2.121060e-05
Acidithrix,Anthranilate,3.211952e-05
Acidithrix,Indole-3-acetaldehyde,1.559063e-01
Acidithrix,Melatonin,1.128614e-05
Acidithrix,5-Hydroxykynurenamine,2.571379e-05
Acidithrix,Indole-3-acetate,1.004830e-01
Acidithrix,Tryptamine,2.702877e-05
Acidobacterium,Serotonin,2.144784e-05
Acidobacterium,L-Formylkynurenine,1.833523e-05
Acidobacterium,L-Kynurenine,1.903883e-05
Acidobacterium,3-Hydroxyanthranilate,1.993511e-05
Acidobacterium,Anthranilate,3.205516e-05
Acidobacterium,Indole-3-acetaldehyde,1.196129e-01
Acidobacterium,Melatonin,1.126084e-05
Acidobacterium,5-Hydroxykynurenamine,2.126898e-05
Acidobacterium,Indole-3-acetate,6.519629e-02
Acidobacterium,Tryptamine,2.185949e-05
Acidocella,Serotonin,2.601046e-05
Acidocella,L-Formylkynurenine,1.946982e-05
Acidocella,L-Kynurenine,2.010488e-05
Acidocella,3-Hydroxyanthranilate,2.120981e-05
Acidocella,Anthranilate,3.211656e-05
Acidocella,Indole-3-acetaldehyde,1.131025e-01
Acidocella,Melatonin,1.128652e-05
Acidocella,5-Hydroxykynurenamine,2.571198e-05
Acidocella,Indole-3-acetate,7.893972e-02
Acidocella,Tryptamine,2.702662e-05
Acidomonas,Serotonin,2.601235e-05
Acidomonas,L-Formylkynurenine,1.947033e-05
Acidomonas,L-Kynurenine,2.010548e-05
Acidomonas,3-Hydroxyanthranilate,2.121060e-05
Acidomonas,Anthranilate,3.211952e-05
Acidomonas,Indole-3-acetaldehyde,7.048002e-01
Acidomonas,Melatonin,1.128614e-05
Acidomonas,5-Hydroxykynurenamine,2.571379e-05
Acidomonas,Indole-3-acetate,1.004830e-01
Acidomonas,Tryptamine,2.702877e-05
Acidothermus,Serotonin,2.144832e-05
Acidothermus,L-Formylkynurenine,1.833545e-05
Acidothermus,L-Kynurenine,1.903914e-05
Acidothermus,3-Hydroxyanthranilate,1.993552e-05
Acidothermus,Anthranilate,3.205807e-05
Acidothermus,Indole-3-acetaldehyde,7.423324e-01
Acidothermus,Melatonin,1.126046e-05
Acidothermus,5-Hydroxykynurenamine,2.126944e-05
Acidothermus,Indole-3-acetate,7.848839e-02
Acidothermus,Tryptamine,2.186001e-05
Acidovorax,Serotonin,2.144447e-05
Acidovorax,L-Formylkynurenine,1.833369e-05
Acidovorax,L-Kynurenine,1.903668e-05
Acidovorax,3-Hydroxyanthranilate,1.993225e-05
Acidovorax,Anthranilate,3.203482e-05
Acidovorax,Indole-3-acetaldehyde,3.317517e-01
Acidovorax,Melatonin,1.126352e-05
Acidovorax,5-Hydroxykynurenamine,2.126573e-05
Acidovorax,Indole-3-acetate,1.114294e-01
Acidovorax,Tryptamine,2.185588e-05
Acinetobacter,Serotonin,4.406950e-04
Acinetobacter,L-Formylkynurenine,1.248613e-05
Acinetobacter,L-Kynurenine,2.912237e-04
Acinetobacter,3-Hydroxyanthranilate,2.662158e-04
Acinetobacter,Anthranilate,3.127154e-05
Acinetobacter,Indole-3-acetaldehyde,3.055414e-01
Acinetobacter,Melatonin,1.098708e-05
Acinetobacter,5-Hydroxykynurenamine,4.453558e-04
Acinetobacter,Indole-3-acetate,4.467088e-02
Acinetobacter,Tryptamine,4.027535e-04
Actibacterium,Serotonin,2.601046e-05
Actibacterium,L-Formylkynurenine,1.946982e-05
Actibacterium,L-Kynurenine,2.010488e-05
Actibacterium,3-Hydroxyanthranilate,2.120981e-05
Actibacterium,Anthranilate,3.211656e-05
Actibacterium,Indole-3-acetaldehyde,1.131025e-01
Actibacterium,Melatonin,1.128652e-05
Actibacterium,5-Hydroxykynurenamine,2.571198e-05
Actibacterium,Indole-3-acetate,7.893972e-02
Actibacterium,Tryptamine,2.702662e-05
Actinoalloteichus,Serotonin,2.600857e-05
Actinoalloteichus,L-Formylkynurenine,1.946932e-05
Actinoalloteichus,L-Kynurenine,2.010428e-05
Actinoalloteichus,3-Hydroxyanthranilate,2.120902e-05
Actinoalloteichus,Anthranilate,3.211361e-05
Actinoalloteichus,Indole-3-acetaldehyde,3.185612e-01
Actinoalloteichus,Melatonin,1.128690e-05
Actinoalloteichus,5-Hydroxykynurenamine,2.571016e-05
Actinoalloteichus,Indole-3-acetate,6.575016e-02
Actinoalloteichus,Tryptamine,2.702447e-05
Actinobacillus,Serotonin,1.260776e-03
Actinobacillus,L-Formylkynurenine,1.833523e-05
Actinobacillus,L-Kynurenine,1.903883e-05
Actinobacillus,3-Hydroxyanthranilate,1.993511e-05
Actinobacillus,Anthranilate,3.205516e-05
Actinobacillus,Indole-3-acetaldehyde,1.196129e-01
Actinobacillus,Melatonin,1.126084e-05
Actinobacillus,5-Hydroxykynurenamine,1.277263e-03
Actinobacillus,Indole-3-acetate,6.519629e-02
Actinobacillus,Tryptamine,1.136560e-03
Actinobaculum,Serotonin,2.601046e-05
Actinobaculum,L-Formylkynurenine,1.946982e-05
Actinobaculum,L-Kynurenine,2.010488e-05
Actinobaculum,3-Hydroxyanthranilate,2.120981e-05
Actinobaculum,Anthranilate,3.211656e-05
Actinobaculum,Indole-3-acetaldehyde,1.131025e-01
Actinobaculum,Melatonin,1.128652e-05
Actinobaculum,5-Hydroxykynurenamine,2.571198e-05
Actinobaculum,Indole-3-acetate,7.893972e-02
Actinobaculum,Tryptamine,2.702662e-05
Actinocatenispora,Serotonin,2.601235e-05
Actinocatenispora,L-Formylkynurenine,1.947033e-05
Actinocatenispora,L-Kynurenine,2.010548e-05
Actinocatenispora,3-Hydroxyanthranilate,2.121060e-05
Actinocatenispora,Anthranilate,3.211952e-05
Actinocatenispora,Indole-3-acetaldehyde,1.559063e-01
Actinocatenispora,Melatonin,1.128614e-05
Actinocatenispora,5-Hydroxykynurenamine,2.571379e-05
Actinocatenispora,Indole-3-acetate,1.004830e-01
Actinocatenispora,Tryptamine,2.702877e-05
Actinokineospora,Serotonin,2.600104e-05
Actinokineospora,L-Formylkynurenine,1.946729e-05
Actinokineospora,L-Kynurenine,2.010189e-05
Actinokineospora,3-Hydroxyanthranilate,2.120589e-05
Actinokineospora,Anthranilate,3.210182e-05
Actinokineospora,Indole-3-acetaldehyde,2.854644e-01
Actinokineospora,Melatonin,1.128843e-05
Actinokineospora,5-Hydroxykynurenamine,2.570291e-05
Actinokineospora,Indole-3-acetate,3.988138e-02
Actinokineospora,Tryptamine,2.701589e-05
Actinomadura,Serotonin,2.598791e-05
Actinomadura,L-Formylkynurenine,1.946376e-05
Actinomadura,L-Kynurenine,2.009772e-05
Actinomadura,3-Hydroxyanthranilate,2.120042e-05
Actinomadura,Anthranilate,3.208130e-05
Actinomadura,Indole-3-acetaldehyde,2.458056e-02
Actinomadura,Melatonin,1.129110e-05
Actinomadura,5-Hydroxykynurenamine,2.569027e-05
Actinomadura,Indole-3-acetate,1.446400e-01
Actinomadura,Tryptamine,2.700094e-05
Actinomyces,Serotonin,1.033454e-05
Actinomyces,L-Formylkynurenine,1.307241e-05
Actinomyces,L-Kynurenine,1.387780e-05
Actinomyces,3-Hydroxyanthranilate,1.410550e-05
Actinomyces,Anthranilate,3.142779e-05
Actinomyces,Indole-3-acetaldehyde,3.420777e-01
Actinomyces,Melatonin,1.102526e-05
Actinomyces,5-Hydroxykynurenamine,1.032732e-05
Actinomyces,Indole-3-acetate,1.086199e-02
Actinomyces,Tryptamine,1.006155e-05
Actinomycetospora,Serotonin,2.601235e-05
Actinomycetospora,L-Formylkynurenine,1.947033e-05
Actinomycetospora,L-Kynurenine,2.010548e-05
Actinomycetospora,3-Hydroxyanthranilate,2.121060e-05
Actinomycetospora,Anthranilate,3.211952e-05
Actinomycetospora,Indole-3-acetaldehyde,7.048002e-01
Actinomycetospora,Melatonin,1.128614e-05
Actinomycetospora,5-Hydroxykynurenamine,2.571379e-05
Actinomycetospora,Indole-3-acetate,1.004830e-01
Actinomycetospora,Tryptamine,2.702877e-05
Actinophytocola,Serotonin,2.601046e-05
Actinophytocola,L-Formylkynurenine,1.946982e-05
Actinophytocola,L-Kynurenine,2.010488e-05
Actinophytocola,3-Hydroxyanthranilate,2.120981e-05
Actinophytocola,Anthranilate,3.211656e-05
Actinophytocola,Indole-3-acetaldehyde,1.131025e-01
Actinophytocola,Melatonin,1.128652e-05
Actinophytocola,5-Hydroxykynurenamine,2.571198e-05
Actinophytocola,Indole-3-acetate,7.893972e-02
Actinophytocola,Tryptamine,2.702662e-05
Actinoplanes,Serotonin,2.599728e-05
Actinoplanes,L-Formylkynurenine,1.946628e-05
Actinoplanes,L-Kynurenine,2.010070e-05
Actinoplanes,3-Hydroxyanthranilate,2.120432e-05
Actinoplanes,Anthranilate,3.209595e-05
Actinoplanes,Indole-3-acetaldehyde,4.248607e-01
Actinoplanes,Melatonin,1.128920e-05
Actinoplanes,5-Hydroxykynurenamine,2.569929e-05
Actinoplanes,Indole-3-acetate,3.326613e-02
Actinoplanes,Tryptamine,2.701161e-05
Actinopolymorpha,Serotonin,2.600857e-05
Actinopolymorpha,L-Formylkynurenine,1.946932e-05
Actinopolymorpha,L-Kynurenine,2.010428e-05
Actinopolymorpha,3-Hydroxyanthranilate,2.120902e-05
Actinopolymorpha,Anthranilate,3.211361e-05
Actinopolymorpha,Indole-3-acetaldehyde,8.886254e-02
Actinopolymorpha,Melatonin,1.128690e-05
Actinopolymorpha,5-Hydroxykynurenamine,2.571016e-05
Actinopolymorpha,Indole-3-acetate,6.575016e-02
Actinopolymorpha,Tryptamine,2.702447e-05
Actinopolyspora,Serotonin,2.600669e-05
Actinopolyspora,L-Formylkynurenine,1.946881e-05
Actinopolyspora,L-Kynurenine,2.010368e-05
Actinopolyspora,3-Hydroxyanthranilate,2.120824e-05
Actinopolyspora,Anthranilate,3.211066e-05
Actinopolyspora,Indole-3-acetaldehyde,7.297632e-02
Actinopolyspora,Melatonin,1.128729e-05
Actinopolyspora,5-Hydroxykynurenamine,2.570835e-05
Actinopolyspora,Indole-3-acetate,5.653503e-02
Actinopolyspora,Tryptamine,2.702233e-05
Actinospica,Serotonin,2.601235e-05
Actinospica,L-Formylkynurenine,1.947033e-05
Actinospica,L-Kynurenine,2.010548e-05
Actinospica,3-Hydroxyanthranilate,2.121060e-05
Actinospica,Anthranilate,3.211952e-05
Actinospica,Indole-3-acetaldehyde,7.048002e-01
Actinospica,Melatonin,1.128614e-05
Actinospica,5-Hydroxykynurenamine,2.571379e-05
Actinospica,Indole-3-acetate,1.004830e-01
Actinospica,Tryptamine,2.702877e-05
Actinosynnema,Serotonin,2.144832e-05
Actinosynnema,L-Formylkynurenine,1.833545e-05
Actinosynnema,L-Kynurenine,1.903914e-05
Actinosynnema,3-Hydroxyanthranilate,1.993552e-05
Actinosynnema,Anthranilate,3.205807e-05
Actinosynnema,Indole-3-acetaldehyde,1.686427e-01
Actinosynnema,Melatonin,1.126046e-05
Actinosynnema,5-Hydroxykynurenamine,2.126944e-05
Actinosynnema,Indole-3-acetate,7.848839e-02
Actinosynnema,Tryptamine,2.186001e-05
Actinotalea,Serotonin,2.601235e-05
Actinotalea,L-Formylkynurenine,1.947033e-05
Actinotalea,L-Kynurenine,2.010548e-05
Actinotalea,3-Hydroxyanthranilate,2.121060e-05
Actinotalea,Anthranilate,3.211952e-05
Actinotalea,Indole-3-acetaldehyde,1.559063e-01
Actinotalea,Melatonin,1.128614e-05
Actinotalea,5-Hydroxykynurenamine,2.571379e-05
Actinotalea,Indole-3-acetate,1.004830e-01
Actinotalea,Tryptamine,2.702877e-05
Actinotignum,Serotonin,2.601046e-05
Actinotignum,L-Formylkynurenine,1.946982e-05
Actinotignum,L-Kynurenine,2.010488e-05
Actinotignum,3-Hydroxyanthranilate,2.120981e-05
Actinotignum,Anthranilate,3.211656e-05
Actinotignum,Indole-3-acetaldehyde,1.131025e-01
Actinotignum,Melatonin,1.128652e-05
Actinotignum,5-Hydroxykynurenamine,2.571198e-05
Actinotignum,Indole-3-acetate,7.893972e-02
Actinotignum,Tryptamine,2.702662e-05
Acutalibacter,Serotonin,2.601235e-05
Acutalibacter,L-Formylkynurenine,1.947033e-05
Acutalibacter,L-Kynurenine,2.010548e-05
Acutalibacter,3-Hydroxyanthranilate,2.121060e-05
Acutalibacter,Anthranilate,3.211952e-05
Acutalibacter,Indole-3-acetaldehyde,7.048002e-01
Acutalibacter,Melatonin,1.128614e-05
Acutalibacter,5-Hydroxykynurenamine,2.571379e-05
Acutalibacter,Indole-3-acetate,6.759327e-01
Acutalibacter,Tryptamine,2.702877e-05
Acuticoccus,Serotonin,2.601235e-05
Acuticoccus,L-Formylkynurenine,1.947033e-05
Acuticoccus,L-Kynurenine,2.010548e-05
Acuticoccus,3-Hydroxyanthranilate,2.121060e-05
Acuticoccus,Anthranilate,3.211952e-05
Acuticoccus,Indole-3-acetaldehyde,1.559063e-01
Acuticoccus,Melatonin,1.128614e-05
Acuticoccus,5-Hydroxykynurenamine,2.571379e-05
Acuticoccus,Indole-3-acetate,1.004830e-01
Acuticoccus,Tryptamine,2.702877e-05
Adhaeribacter,Serotonin,2.601235e-05
Adhaeribacter,L-Formylkynurenine,1.947033e-05
Adhaeribacter,L-Kynurenine,2.010548e-05
Adhaeribacter,3-Hydroxyanthranilate,2.121060e-05
Adhaeribacter,Anthranilate,3.211952e-05
Adhaeribacter,Indole-3-acetaldehyde,1.559063e-01
Adhaeribacter,Melatonin,1.128614e-05
Adhaeribacter,5-Hydroxykynurenamine,2.571379e-05
Adhaeribacter,Indole-3-acetate,1.004830e-01
Adhaeribacter,Tryptamine,2.702877e-05
Adlercreutzia,Serotonin,2.144784e-05
Adlercreutzia,L-Formylkynurenine,1.833523e-05
Adlercreutzia,L-Kynurenine,1.903883e-05
Adlercreutzia,3-Hydroxyanthranilate,1.993511e-05
Adlercreutzia,Anthranilate,3.205516e-05
Adlercreutzia,Indole-3-acetaldehyde,4.436974e-01
Adlercreutzia,Melatonin,1.126084e-05
Adlercreutzia,5-Hydroxykynurenamine,2.126898e-05
Adlercreutzia,Indole-3-acetate,7.786806e-01
Adlercreutzia,Tryptamine,2.185949e-05
Advenella,Serotonin,2.601235e-05
Advenella,L-Formylkynurenine,1.947033e-05
Advenella,L-Kynurenine,2.010548e-05
Advenella,3-Hydroxyanthranilate,2.121060e-05
Advenella,Anthranilate,3.211952e-05
Advenella,Indole-3-acetaldehyde,7.048002e-01
Advenella,Melatonin,1.128614e-05
Advenella,5-Hydroxykynurenamine,2.571379e-05
Advenella,Indole-3-acetate,1.004830e-01
Advenella,Tryptamine,2.702877e-05
Aequorivita,Serotonin,2.600857e-05
Aequorivita,L-Formylkynurenine,1.946932e-05
Aequorivita,L-Kynurenine,2.010428e-05
Aequorivita,3-Hydroxyanthranilate,2.120902e-05
Aequorivita,Anthranilate,3.211361e-05
Aequorivita,Indole-3-acetaldehyde,3.185612e-01
Aequorivita,Melatonin,1.128690e-05
Aequorivita,5-Hydroxykynurenamine,2.571016e-05
Aequorivita,Indole-3-acetate,2.733133e-01
Aequorivita,Tryptamine,2.702447e-05
Aeribacillus,Serotonin,2.144832e-05
Aeribacillus,L-Formylkynurenine,1.833545e-05
Aeribacillus,L-Kynurenine,1.903914e-05
Aeribacillus,3-Hydroxyanthranilate,1.993552e-05
Aeribacillus,Anthranilate,3.205807e-05
Aeribacillus,Indole-3-acetaldehyde,1.686427e-01
Aeribacillus,Melatonin,1.126046e-05
Aeribacillus,5-Hydroxykynurenamine,2.126944e-05
